lamda_1
36.9036300000,0.377841,0.110147,0.342092,0.111028
36.9157500000,0.377214,0.110257,0.342435,0.109544
36.9294700000,0.375229,0.110159,0.342472,0.107786
36.9443200000,0.374443,0.109835,0.342089,0.107230
36.9581900000,0.374054,0.109410,0.341874,0.106411
36.9725000000,0.373087,0.108394,0.340915,0.105004
36.9869300000,0.373067,0.108222,0.340763,0.104514
37.0015300000,0.373139,0.108156,0.340582,0.103329
37.0153200000,0.373415,0.108122,0.340499,0.103034
37.0304100000,0.374454,0.108555,0.338245,0.101764
37.0440000000,0.374804,0.108997,0.336561,0.100504
37.0581300000,0.374995,0.109368,0.330566,0.098507
37.0724400000,0.371222,0.110504,0.317599,0.094107
37.0870300000,0.356600,0.110053,0.310562,0.091611
37.1008800000,0.346569,0.104838,0.301820,0.085905
37.1153000000,0.339214,0.104730,0.299692,0.084604
37.1294900000,0.338262,0.104916,0.292675,0.082921
37.1439200000,0.337158,0.105631,0.280114,0.077516
37.1585800000,0.336909,0.105760,0.273785,0.076055
37.1733900000,0.336843,0.105849,0.265307,0.075208
37.1872900000,0.258575,0.118364,0.223779,0.074288
37.2010700000,0.259168,0.117196,0.216573,0.072285
37.2153900000,0.266406,0.104928,0.216826,0.072535
37.2301100000,0.272434,0.098975,0.216075,0.073396
37.2439200000,0.274686,0.095456,0.211026,0.076808
37.2581000000,0.274173,0.095072,0.207210,0.079216
37.2724200000,0.240555,0.094203,0.204507,0.081566
37.2870600000,0.231180,0.093239,0.199796,0.082307
37.3017100000,0.225620,0.092581,0.195754,0.082296
37.3153200000,0.223669,0.092330,0.193820,0.082396
37.3294700000,0.217715,0.091124,0.189218,0.081142
37.3440400000,0.211112,0.091230,0.181470,0.080098
37.3581400000,0.196432,0.088543,0.176380,0.080538
37.3723100000,0.191263,0.088876,0.163275,0.078403
37.3871600000,0.187309,0.088915,0.157808,0.076942
37.4010300000,0.172632,0.086620,0.155605,0.076675
37.4153700000,0.161636,0.086322,0.149744,0.076046
37.4313100000,0.153744,0.086306,0.142475,0.075386
37.4441700000,0.153318,0.086196,0.140643,0.074702
37.4586800000,0.141889,0.085466,0.135010,0.073262
37.4725200000,0.140072,0.085239,0.130582,0.073511
37.4874500000,0.129849,0.082934,0.124357,0.073466
37.5036400000,0.113533,0.085621,0.112856,0.070255
37.5152400000,0.102178,0.085626,0.106597,0.068041
37.5294600000,0.096592,0.085457,0.098445,0.066299
37.5443000000,0.086108,0.085574,0.091392,0.066161
37.5582000000,0.080544,0.082913,0.085247,0.064628
37.5724500000,0.079746,0.082621,0.079043,0.063956
37.5872800000,0.073024,0.079647,0.074421,0.063781
37.6009800000,0.057158,0.072290,0.067759,0.065701
37.6154200000,0.051594,0.070418,0.056675,0.064022
37.6297600000,0.045855,0.069151,0.046938,0.062276
37.6437700000,0.043033,0.070159,0.028763,0.068762
37.6581300000,0.035703,0.071650,0.029804,0.066581
37.6724300000,0.027869,0.077300,0.027459,0.069954
37.6872400000,0.024993,0.079770,0.027547,0.069924
37.7011900000,0.013084,0.082031,0.006179,0.074843
37.7156300000,0.009886,0.081484,0.001680,0.072964
37.7302100000,-0.001076,0.077980,-0.005637,0.068534
37.7439200000,-0.015089,0.074146,-0.013368,0.067536
37.7581900000,-0.018206,0.073255,-0.025208,0.065325
37.7723200000,-0.034141,0.072223,-0.034484,0.060896
37.7872500000,-0.040656,0.071750,-0.042436,0.059212
37.8009200000,-0.042264,0.071994,-0.045194,0.059221
37.8155700000,-0.048224,0.074037,-0.049941,0.059783
