frameTime,leftEye x,leftEye y,rightEye x, rightEye y 
5.2014580000,0.159339,0.026500,0.229037,-0.050804
5.2123080000,0.147892,0.027014,0.194727,-0.065008
5.2279190000,0.121898,0.024197,0.160766,-0.026200
5.2739270000,0.079278,0.023225,0.139389,-0.023942
5.3238020000,0.051156,0.057870,0.106251,-0.024713
5.3462220000,0.026817,0.022800,0.091966,-0.024437
5.3619580000,0.023256,0.023352,0.085337,-0.024838
5.3737830000,0.010490,0.021189,0.081354,-0.025771
5.3905630000,-0.006670,0.029431,0.062418,-0.027912
5.4203820000,-0.017850,0.006654,0.045066,-0.024710
5.4240970000,-0.028365,0.013351,0.041109,-0.024704
5.4395530000,-0.034307,0.017719,0.004273,-0.009588
5.4913130000,-0.067238,-0.004517,-0.013904,-0.004668
5.5199130000,-0.084174,0.025097,-0.015055,-0.005511
5.5278210000,-0.087584,0.027372,-0.016322,-0.006463
5.5366040000,-0.091525,0.028009,-0.038526,-0.003368
5.5505110000,-0.088308,0.030307,-0.059835,-0.000505
5.5704240000,-0.087494,0.030973,-0.071139,0.001547
5.5781120000,-0.101854,0.044280,-0.091485,-0.016384
5.5936340000,-0.103730,0.047014,-0.095880,-0.009733
5.6094950000,-0.103972,0.046727,-0.099350,-0.002908
5.6193870000,-0.102189,0.044013,-0.104513,0.000967
5.6338510000,-0.102297,0.043495,-0.108070,0.002886
5.6478010000,-0.112078,0.048064,-0.113473,0.005240
5.6670750000,-0.113019,0.048814,-0.115847,0.006302
5.6781330000,-0.122739,0.058321,-0.122995,0.009572
5.6907000000,-0.128596,0.052766,-0.132520,0.012068
5.7132870000,-0.132690,0.040219,-0.141029,0.015317
5.7241570000,-0.135726,0.039639,-0.151008,0.017254
5.7339680000,-0.144371,0.037886,-0.159423,0.017753
5.7480130000,-0.153536,0.039762,-0.164877,0.017344
5.7620760000,-0.169708,0.041403,-0.215234,-0.002782
5.7763090000,-0.190695,0.061488,-0.243190,-0.003632
5.7909930000,-0.197011,0.060489,-0.243111,-0.003185
5.8071940000,-0.218264,0.054523,-0.243284,-0.003268
5.8202040000,-0.218264,0.054523,-0.243284,-0.003268
5.8370030000,-0.220737,0.051717,-0.247086,-0.003781
5.8496350000,-0.221357,0.052047,-0.248488,-0.001525
5.8629590000,-0.221330,0.053287,-0.249595,0.000472
5.8762960000,-0.245390,0.057154,-0.272964,0.002946
5.8905560000,-0.255378,0.050184,-0.272977,0.003361
5.9049590000,-0.260052,0.046038,-0.274357,0.005446
5.9198140000,-0.261875,0.044972,-0.279048,0.009291
5.9340740000,-0.262070,0.045465,-0.282725,0.011518
5.9492920000,-0.266672,0.057834,-0.283403,0.012632
5.9621890000,-0.270256,0.055434,-0.285113,0.012324
5.9765410000,-0.274199,0.055433,-0.294939,0.006032
5.9963220000,-0.274234,0.055217,-0.295523,0.006077
6.0049530000,-0.274741,0.054970,-0.310346,0.014911
6.0192660000,-0.294829,0.129785,-0.311482,0.015218
6.0341250000,-0.309339,0.349223,-0.328451,0.013212
6.0477680000,-0.276875,0.297972,-0.329706,0.011912
6.0620680000,-0.286650,0.360210,-0.330488,0.015432
6.0769100000,-0.318483,0.043340,-0.331497,-0.005925
6.0906850000,-0.319820,0.045175,-0.345273,0.006917
6.1060910000,-0.349199,0.082584,-0.371772,0.018108
6.1250410000,-0.352451,0.083643,-0.384470,0.018986
6.1355740000,-0.355675,0.082656,-0.381594,0.017732
6.1479640000,-0.356439,0.085554,-0.379966,0.017000
6.1619530000,-0.366350,0.086663,-0.379847,0.016815
6.1771470000,-0.370737,0.082545,-0.387066,0.017133
6.1912750000,-0.403131,0.043887,-0.385748,0.017018
6.2068570000,-0.403550,0.043757,-0.401422,0.016816
6.2191950000,-0.406828,0.039453,-0.402693,0.014753
6.2356930000,-0.409573,0.037489,-0.414982,0.017294
6.2497830000,-0.415666,0.035871,-0.414433,0.016496
6.2678880000,-0.423019,0.041305,-0.431643,0.022323
6.2764010000,-0.424151,0.043197,-0.429460,0.019398
6.2981330000,-0.427109,0.047135,-0.425933,0.015725
6.3049680000,-0.432396,0.049632,-0.426104,0.015277
6.3192770000,-0.434266,0.047280,-0.426658,0.015151
6.3339810000,-0.434266,0.047280,-0.426658,0.015151
6.3482200000,-0.439996,0.058887,-0.418387,-0.028490
6.3628840000,-0.456108,0.071000,-0.425001,-0.016539
6.3814170000,-0.455987,0.071756,-0.434793,0.009516
6.3944680000,-0.460366,0.075358,-0.433666,0.015534
6.4088860000,-0.498402,0.079813,-0.442335,-0.010051
6.4191400000,-0.498169,0.079682,-0.442152,-0.010093
6.4347000000,-0.478065,0.038506,-0.444954,-0.012375
6.4482670000,-0.477526,0.040277,-0.461305,0.015982
6.4619810000,-0.476860,0.041224,-0.463708,0.013079
6.4785090000,-0.476401,0.042314,-0.464700,0.011707
6.4907740000,-0.475768,0.043328,-0.464905,0.010486
6.5055790000,-0.474280,0.045415,-0.464491,0.009183
6.5218670000,-0.473931,0.045217,-0.464164,0.008657
6.5349850000,-0.472805,0.045055,-0.460623,0.009558
6.5477550000,-0.469630,0.044720,-0.451834,0.009027
6.5619540000,-0.463520,0.041832,-0.451936,0.009005
6.5762500000,-0.451683,0.036793,-0.448122,0.009833
6.5907210000,-0.431940,0.033104,-0.441908,0.012366
6.6050940000,-0.431629,0.033240,-0.407944,-0.026930
6.6191740000,-0.418288,0.029057,-0.410481,-0.013406
6.6351720000,-0.415014,0.030059,-0.406468,-0.017124
6.6482270000,-0.410011,0.032474,-0.398502,-0.028002
6.6625530000,-0.406806,0.033630,-0.365084,-0.051224
6.6770320000,-0.393452,0.034694,-0.373857,-0.039842
6.6906980000,-0.396128,0.032134,-0.382193,0.026687
6.7049870000,-0.434860,0.036194,-0.379412,0.023953
6.7194880000,-0.417185,0.027810,-0.373983,-0.007601
6.7341490000,-0.414206,0.026043,-0.374502,-0.008847
6.7480300000,-0.405614,0.025976,-0.380669,-0.032265
6.7620980000,-0.391380,0.029348,-0.388965,-0.027987
6.7763300000,-0.386924,0.028225,-0.391322,-0.027021
6.7935280000,-0.378316,0.024775,-0.390920,-0.027532
6.8063450000,-0.368906,0.024653,-0.368134,-0.027723
6.8191340000,-0.349765,-0.004898,-0.356240,-0.027185
6.8340080000,-0.351098,-0.005800,-0.352553,-0.031612
6.8478470000,-0.353175,-0.006770,-0.353693,-0.032446
6.8621030000,-0.356934,-0.007063,-0.355018,-0.034110
6.8764840000,-0.358859,-0.006760,-0.359579,-0.036252
6.8905920000,-0.353235,-0.005621,-0.360972,-0.036726
6.9051690000,-0.311402,0.000029,-0.364930,-0.038100
6.9209320000,-0.299114,-0.002708,-0.369152,-0.025196
6.9355000000,-0.278858,0.005628,-0.350424,-0.017621
6.9477260000,-0.277924,0.004421,-0.302278,-0.037727
6.9619640000,-0.278125,0.004367,-0.302597,-0.037082
6.9762540000,-0.270500,0.006964,-0.302864,-0.032629
6.9907690000,-0.259370,0.011477,-0.295440,-0.026324
7.0048180000,-0.259370,0.011477,-0.295440,-0.026324
7.0191010000,-0.255205,0.012405,-0.274473,-0.028260
7.0344860000,-0.253270,0.012548,-0.273646,-0.025288
7.0478730000,-0.251769,0.012173,-0.274919,-0.023647
7.0623950000,-0.249751,0.011628,-0.275459,-0.023884
7.0763010000,-0.236040,0.014988,-0.274291,-0.024157
7.0905350000,-0.205386,0.025249,-0.268365,-0.023942
7.1048540000,-0.198802,0.023274,-0.256863,-0.021940
7.1193770000,-0.186938,0.017764,-0.252399,-0.021290
7.1342170000,-0.155893,0.059333,-0.250515,-0.021023
7.1486920000,-0.086037,-0.014764,-0.242680,-0.021008
7.1620810000,-0.149624,0.017894,-0.213272,-0.022758
7.1764970000,-0.235727,0.155866,-0.209576,-0.022646
7.1909090000,-0.196594,0.268773,-0.200563,-0.022500
7.2066420000,-0.233792,0.572445,-0.187594,-0.025628
7.2190960000,-0.246484,0.507452,-0.178996,-0.026836
7.2344320000,-0.221771,0.543562,-0.174877,-0.027449
7.2478230000,-0.191381,0.655819,-0.160568,-0.026138
7.2624140000,-0.173337,0.603817,-0.149889,-0.026976
7.2765300000,-0.129489,0.489707,-0.147464,-0.027803
7.2910250000,-0.133129,0.505326,-0.141697,-0.030491
7.3078250000,-0.110369,0.501958,-0.081775,-0.048693
7.3196250000,-0.104429,0.477920,-0.082025,-0.010163
7.3352180000,-0.137926,0.419527,-0.078780,-0.013522
7.3477390000,-0.110256,0.443359,-0.082577,-0.003283
7.3620370000,-0.141792,0.538745,-0.082512,-0.005768
7.3764220000,-0.106609,0.656860,-0.083712,-0.012172
7.3905160000,-0.163512,0.545766,-0.083713,-0.012983
7.4051920000,-0.105124,0.622166,-0.070159,0.007077
7.4194740000,-0.100356,0.605084,-0.051858,0.018011
7.4347540000,-0.122393,0.574417,-0.042277,0.015462
7.4481710000,-0.096024,0.623038,-0.032739,0.010050
7.4622010000,-0.091703,0.535248,-0.025808,0.008384
7.4762490000,-0.077455,0.537814,-0.017084,0.007596
7.4905140000,-0.068923,0.523264,-0.014455,0.008779
7.5048490000,-0.022454,0.730508,-0.004077,0.009149
7.5191920000,-0.093507,0.475084,0.002660,0.010705
7.5343440000,-0.031701,0.443306,0.006721,0.011803
7.5484330000,-0.019517,0.495826,0.019652,0.012216
7.5620100000,0.171406,0.374698,0.027962,0.011251
7.5780160000,0.019954,0.050422,0.039438,0.014200
7.5948930000,0.047209,0.053412,0.050327,0.014932
7.6049410000,0.063109,0.062693,0.056799,0.015197
7.6191000000,0.069233,0.068221,0.074862,0.014805
7.6343490000,0.073464,0.069351,0.079627,0.015532
7.6478820000,0.086553,0.070421,0.089924,0.016196
7.6624690000,0.068347,-0.008991,0.095990,0.016021
7.6769620000,0.072839,-0.010848,0.098350,0.015862
7.6907680000,0.075394,-0.011287,0.102786,0.015234
7.7069540000,0.078473,-0.010576,0.117777,0.009686
7.7200350000,0.081743,-0.005583,0.129905,0.001624
7.7370460000,0.096068,-0.000177,0.136586,-0.004049
7.7479180000,0.121282,-0.006794,0.150311,-0.012087
7.7620880000,0.121604,-0.006591,0.155512,-0.014205
7.7764920000,0.121791,-0.006576,0.167905,-0.016831
7.7907370000,0.120303,-0.003050,0.174611,-0.019382
7.8054430000,0.119055,-0.000202,0.177364,-0.020276
7.8204570000,0.116321,0.007681,0.184257,-0.021226
7.8351220000,0.117602,0.012560,0.189965,-0.020938
7.8485190000,0.142222,0.018041,0.211880,0.011958
7.8622270000,0.200478,0.020053,0.214944,0.016249
7.8767660000,0.199724,0.019886,0.217391,0.017511
7.8907180000,0.197975,0.019660,0.222260,0.019164
7.9051700000,0.193210,0.019152,0.229980,0.021125
7.9196750000,0.190342,0.019126,0.235001,0.021961
7.9339970000,0.189415,0.018911,0.236320,0.020986
7.9483450000,0.187648,0.017062,0.233500,0.018026
7.9621240000,0.220171,0.022052,0.235752,0.016077
7.9770990000,0.249331,0.032236,0.251656,0.019818
7.9908320000,0.248573,0.039656,0.258525,0.027047
8.0049700000,0.247095,0.046211,0.263692,0.030951
8.0190850000,0.247011,0.048358,0.267491,0.032855
8.0334740000,0.247091,0.049268,0.270751,0.032508
8.0477290000,0.246968,0.050570,0.275022,0.031248
8.0621490000,0.248272,0.053972,0.280237,0.030895
8.0770780000,0.249886,0.055242,0.281934,0.030974
8.0907900000,0.266128,0.055813,0.285174,0.031265
8.1051890000,0.275827,0.057215,0.287175,0.032703
8.1196650000,0.281579,0.057319,0.288652,0.032368
8.1334840000,0.283099,0.057284,0.289619,0.032222
8.1477600000,0.285165,0.057968,0.287037,0.007170
8.1619800000,0.286102,0.059052,0.287770,0.006737
8.1763650000,0.286970,0.059154,0.290366,0.006278
8.1906740000,0.286970,0.059154,0.290366,0.006278
8.2051580000,0.287555,0.059594,0.292024,0.006669
8.2199140000,0.288075,0.059330,0.290120,0.012904
8.2352160000,0.293904,0.053133,0.308881,0.036108
8.2479200000,0.294947,0.052081,0.309749,0.035852
8.2624110000,0.231987,0.060526,0.193550,-0.034254
8.2762750000,0.231430,0.061324,0.192681,-0.033156
8.2905770000,0.231453,0.063108,0.198579,-0.027316
8.3048440000,0.230214,0.067855,0.202586,-0.023725
8.3196660000,0.213920,0.066516,0.187949,-0.024678
8.3334940000,0.206754,0.065545,0.176933,-0.020629
8.3480410000,0.206596,0.065908,0.174906,-0.020154
8.3624110000,0.203781,0.065671,0.171201,-0.019131
8.3770500000,0.197969,0.067083,0.158874,-0.016290
8.3906220000,0.182830,0.064417,0.145833,-0.013884
8.4090740000,0.182199,0.064787,0.145689,-0.013454
8.4192970000,0.176109,0.061567,0.140706,-0.014854
8.4334310000,0.164174,0.050460,0.128494,-0.014005
8.4478870000,0.152813,0.048793,0.123721,-0.014863
8.4621290000,0.144541,0.047547,0.122076,-0.015346
8.4769170000,0.142257,0.047009,0.120862,-0.015373
8.4906290000,0.136783,0.047400,0.117746,0.006467
8.5056140000,0.132181,0.045537,0.104731,-0.008192
8.5194390000,0.122601,0.042023,0.098491,-0.011504
8.5338360000,0.113901,0.041062,0.094867,-0.012370
8.5476630000,0.103493,0.037394,0.105121,-0.004218
8.5620350000,0.099337,0.035605,0.105504,-0.003975
8.5764530000,0.091401,0.033985,0.105202,-0.003972
8.5910830000,0.028949,0.078980,0.090344,0.005433
8.6050000000,0.030232,0.079792,0.089368,0.005512
8.6202050000,0.012662,0.039244,0.085693,0.007882
8.6338150000,0.001593,0.066357,0.069220,0.013254
8.6479170000,-0.013086,0.069512,-0.001076,0.055788
8.6627590000,-0.015517,0.064247,-0.001501,0.048029
8.6762180000,-0.033475,0.065992,-0.020216,0.029063
8.6905920000,-0.034944,0.064339,-0.021206,0.028771
8.7048650000,-0.051703,0.060227,-0.023248,0.027674
8.7191750000,-0.054762,0.057095,-0.029169,0.027263
8.7335570000,-0.054712,0.056912,-0.035963,0.019476
8.7478400000,-0.076904,0.059474,-0.038647,0.015494
8.7619450000,-0.084082,0.086500,-0.036953,0.011755
8.7799320000,-0.092979,0.066255,-0.050496,0.014594
8.7908360000,-0.108236,0.084961,-0.087956,-0.023169
8.8058940000,-0.119370,0.086898,-0.087293,-0.020820
8.8192310000,-0.121280,0.087052,-0.076394,0.007673
8.8334220000,-0.123306,0.086446,-0.086177,0.020931
8.8477670000,-0.126707,0.084323,-0.094772,0.030401
8.8625790000,-0.145809,0.085447,-0.100796,0.032827
8.8766800000,-0.145809,0.085447,-0.100796,0.032827
8.8905410000,-0.128666,0.078688,-0.111269,0.034692
8.9069520000,-0.126127,0.076605,-0.120980,0.033189
8.9203620000,-0.130814,0.076812,-0.132991,0.032365
8.9339690000,-0.132790,0.075511,-0.141437,0.030098
8.9476540000,-0.127088,0.070247,-0.151449,0.028150
8.9619080000,-0.126867,0.069607,-0.157039,0.028040
8.9781150000,-0.136415,0.067204,-0.177627,0.026789
9.0061030000,-0.148329,0.066169,-0.183916,0.024403
9.0138330000,-0.151245,0.066428,-0.189433,0.024115
9.0407800000,-0.156132,0.066410,-0.190924,0.024201
9.0532020000,-0.172693,0.066400,-0.193155,0.026958
9.0557520000,-0.172693,0.066400,-0.193155,0.026958
9.0656350000,-0.185849,0.064622,-0.199056,0.032192
9.0762620000,-0.205263,0.088252,-0.226596,0.038584
9.0905280000,-0.216881,0.078923,-0.265797,0.034013
9.1048610000,-0.217028,0.078734,-0.265939,0.033944
9.1196540000,-0.217145,0.078777,-0.273584,0.029302
9.1334980000,-0.219490,0.079543,-0.281189,0.026044
9.1479880000,-0.241462,0.073314,-0.286884,0.024163
9.1619140000,-0.286997,0.054534,-0.347790,0.031750
9.1766690000,-0.292396,0.053876,-0.327397,-0.006187
9.1909450000,-0.293364,0.053770,-0.336780,-0.007095
9.2062860000,-0.294112,0.053864,-0.329183,-0.012604
9.2196720000,-0.298179,0.055258,-0.337409,-0.005587
9.2335710000,-0.304440,0.056027,-0.337174,-0.005676
9.2476990000,-0.318415,0.056522,-0.338062,-0.005856
9.2621150000,-0.332866,0.057823,-0.347231,-0.004271
9.2769370000,-0.332957,0.055933,-0.358056,-0.007415
9.2914860000,-0.330825,0.047768,-0.371651,-0.002829
9.3070620000,-0.331424,0.043817,-0.371255,-0.002231
9.3209680000,-0.338074,0.040768,-0.376719,-0.000762
9.3403370000,-0.343789,0.040739,-0.385987,0.002437
9.3476580000,-0.347242,0.040911,-0.394499,-0.001659
9.3619000000,-0.348188,0.039544,-0.389339,-0.005557
9.3762740000,-0.355588,0.036975,-0.397205,-0.002652
9.3905640000,-0.358047,0.036378,-0.401466,-0.002484
9.4048160000,-0.359790,0.035936,-0.402687,-0.002033
9.4211300000,-0.363383,0.035356,-0.412843,0.002811
9.4335020000,-0.371236,0.034013,-0.454262,0.048985
9.4498910000,-0.426571,0.030010,-0.443482,0.020625
9.4628600000,-0.441103,0.034021,-0.444790,0.016909
9.4763050000,-0.446072,0.038581,-0.465528,0.038779
9.4905110000,-0.448756,0.041296,-0.468027,0.042480
9.5051250000,-0.449607,0.041956,-0.459776,0.028929
9.5198530000,-0.449294,0.042429,-0.458711,0.022674
9.5333560000,-0.448754,0.043284,-0.460033,0.015677
9.5478000000,-0.448754,0.043284,-0.460033,0.015677
9.5618900000,-0.448572,0.044261,-0.475150,0.020390
9.5777790000,-0.449440,0.045719,-0.474625,0.019724
9.5909610000,-0.452146,0.047756,-0.485555,0.024264
9.6061530000,-0.472591,0.055965,-0.478560,0.032824
9.6197550000,-0.473735,0.056213,-0.477322,0.034671
9.6333160000,-0.473700,0.056155,-0.481528,0.037090
9.6497460000,-0.478982,0.052629,-0.481256,0.021279
9.6620010000,-0.479028,0.052164,-0.481461,0.021042
9.6765100000,-0.479105,0.052103,-0.481648,0.020802
9.6909830000,-0.479178,0.052441,-0.493700,0.023680
9.7079490000,-0.479959,0.055474,-0.509861,0.034475
9.7211150000,-0.480666,0.057804,-0.510222,0.039815
9.7339760000,-0.481239,0.060395,-0.498094,0.037068
9.7477410000,-0.481234,0.061160,-0.495491,0.033594
9.7620250000,-0.481005,0.061415,-0.501178,0.052057
9.7761890000,-0.481256,0.063576,-0.489837,0.040046
9.7906580000,-0.478614,0.030205,-0.499848,0.057508
9.8049300000,-0.478197,0.026085,-0.500373,0.058045
9.8200110000,-0.479544,0.026424,-0.502876,0.058621
9.8371120000,-0.480230,0.025327,-0.504380,0.058683
9.8490700000,-0.480910,0.024759,-0.509994,0.059503
9.8629110000,-0.483296,0.041106,-0.500103,0.056568
9.8761990000,-0.460714,0.027623,-0.485007,0.050679
9.8904800000,-0.454491,0.025360,-0.483113,0.051390
9.9047950000,-0.451063,0.029989,-0.465003,0.010046
9.9200440000,-0.448288,0.038917,-0.443000,-0.001272
9.9337870000,-0.445384,0.041456,-0.447272,0.035854
9.9479820000,-0.438810,0.042851,-0.448148,0.032914
9.9618640000,-0.426783,0.040497,-0.447500,0.029603
9.9779170000,-0.414794,0.039223,-0.429649,0.042209
9.9909260000,-0.408486,0.040152,-0.424900,0.045775
10.0049100000,-0.396237,0.044769,-0.403633,0.014460
10.0198800000,-0.386065,0.046949,-0.393235,0.011101
10.0333400000,-0.381790,0.046604,-0.391454,0.009809
10.0480900000,-0.373189,0.047241,-0.390404,0.022146
10.0618600000,-0.368167,0.047934,-0.376173,0.012855
10.0763400000,-0.365077,0.048486,-0.377204,0.013554
10.0908100000,-0.357401,0.050099,-0.382371,0.036795
10.1078000000,-0.348637,0.051926,-0.339601,-0.014694
10.1210100000,-0.294933,0.008954,-0.339804,-0.014696
10.1345000000,-0.291430,0.015072,-0.335359,-0.015224
10.1476800000,-0.290637,0.015412,-0.328235,-0.013099
10.1618100000,-0.283336,0.017041,-0.318707,-0.012079
10.1762000000,-0.275790,0.017640,-0.318615,-0.010908
10.1918100000,-0.273484,0.017379,-0.316774,-0.009585
10.2057300000,-0.268588,0.016713,-0.312050,-0.006470
10.2208300000,-0.251260,0.013012,-0.301718,-0.001224
10.2335700000,-0.250261,0.016617,-0.297036,-0.000184
10.2498900000,-0.245621,0.092593,-0.290059,0.001996
10.2652400000,-0.237683,0.065407,-0.278272,0.002522
10.2764800000,-0.219369,0.025212,-0.269570,0.001934
10.2905100000,-0.221800,0.082671,-0.264342,0.001458
10.3051000000,-0.216316,0.069967,-0.254135,-0.000033
10.3201500000,-0.203056,0.063830,-0.241381,-0.000830
10.3341300000,-0.200458,0.064622,-0.235632,-0.000095
10.3481100000,-0.194642,0.066411,-0.219048,0.020531
10.3619600000,-0.182560,0.070843,-0.213806,0.022731
10.3788300000,-0.173673,0.071444,-0.203021,0.022646
10.3908300000,-0.173702,0.076533,-0.196771,0.023163
10.4048700000,-0.169759,0.096244,-0.189950,0.021732
10.4191100000,-0.165026,0.095813,-0.184285,0.020336
10.4334700000,-0.159148,0.095298,-0.175123,0.020753
10.4477700000,-0.135688,0.084210,-0.160398,0.021817
10.4630400000,-0.134747,0.083852,-0.148405,0.023508
10.4763300000,-0.134477,0.083512,-0.143125,0.024592
10.4910400000,-0.134817,0.079016,-0.132416,0.025267
10.5063000000,-0.132238,0.078420,-0.123968,0.024371
10.5229300000,-0.082064,0.097877,-0.110447,0.024699
10.5339900000,-0.064448,0.079570,-0.106072,0.025110
10.5476800000,-0.064119,0.078111,-0.104466,0.025428
10.5623000000,-0.060468,0.076264,-0.100872,0.026241
10.5761800000,-0.082179,0.126307,-0.094307,0.026493
10.5905100000,-0.091064,0.137308,-0.084308,0.036471
10.6058200000,-0.088056,0.131805,-0.080027,0.048721
10.6201500000,-0.055826,0.047158,-0.067430,0.047426
10.6335400000,-0.063660,0.053911,-0.059593,0.040508
10.6493500000,-0.063864,0.053745,-0.050177,0.034750
10.6659300000,-0.058789,0.052624,-0.040063,0.034660
10.6772100000,-0.053439,0.055424,-0.026131,0.034928
10.6905100000,-0.026277,0.052222,-0.022276,0.035537
10.7049800000,-0.027049,0.050556,-0.016097,0.033952
10.7192000000,-0.027927,0.050071,-0.004735,0.032766
10.7334100000,-0.027927,0.050071,-0.004735,0.032766
10.7478500000,-0.020343,0.047968,0.004320,0.029761
10.7621800000,0.005734,0.053994,0.014765,0.027122
10.7777900000,0.012941,0.060236,0.013270,-0.031246
10.7908000000,0.041264,0.083431,0.021232,-0.030828
10.8049100000,0.042391,0.087356,0.034599,-0.022136
10.8189700000,0.060404,0.095809,0.051818,-0.022207
10.8337300000,0.060897,0.095388,0.055563,-0.024386
10.8477600000,0.066853,0.017129,0.063164,-0.023259
10.8627200000,0.066795,0.017077,0.069177,-0.024927
10.8765400000,0.066190,0.017374,0.072092,-0.025682
10.8906800000,0.067837,0.018239,0.090903,-0.020529
10.9070600000,0.080418,0.019292,0.094939,-0.019477
10.9215500000,0.088931,0.023182,0.103324,-0.018387
10.9349800000,0.108482,0.027803,0.106429,-0.018390
10.9477300000,0.125225,0.027809,0.117364,-0.019342
10.9618700000,0.131553,0.030602,0.120963,-0.017452
10.9761400000,0.145362,0.034441,0.122821,-0.016533
10.9905300000,0.149510,0.035642,0.143377,-0.020674
11.0053400000,0.150250,0.037852,0.144798,-0.021140
11.0194800000,0.153463,0.045066,0.149740,-0.021356
11.0335900000,0.177943,0.048119,0.159228,-0.016638
11.0514200000,0.179910,0.048305,0.184798,0.011848
11.0625300000,0.180580,0.048195,0.183996,-0.004519
11.0761200000,0.180990,0.048163,0.185392,-0.006635
11.0903900000,0.181679,0.048462,0.186335,-0.006885
11.1051100000,0.189941,0.051094,0.189801,-0.006407
11.1191000000,0.198526,0.053283,0.194444,-0.005085
11.1334900000,0.199772,0.053479,0.195932,-0.004838
11.1477000000,0.206729,0.053097,0.199316,-0.003961
11.1640900000,0.215772,0.054776,0.200784,-0.004458
11.1779500000,0.222163,0.055720,0.206494,-0.003127
11.1915700000,0.229923,0.055787,0.215513,-0.001621
11.2084300000,0.232277,0.055589,0.218467,-0.001082
11.2189200000,0.239162,0.055551,0.224575,0.000726
11.2336100000,0.242263,0.055813,0.251198,0.003722
11.2475700000,0.246846,0.056728,0.254272,0.003508
11.2621300000,0.248285,0.057229,0.255526,0.003328
11.2764400000,0.249856,0.057945,0.256330,0.003109
11.2918400000,0.252328,0.059676,0.256866,0.002781
11.3062800000,0.252757,0.060617,0.237044,0.000273
11.3206500000,0.309227,0.077127,0.314449,-0.005283
11.3339800000,0.310074,0.077880,0.312266,-0.004111
11.3479800000,0.310284,0.078067,0.308074,-0.005987
11.3622200000,0.310365,0.078105,0.307861,-0.006207
11.3761300000,0.310486,0.078297,0.307942,-0.006388
11.3904900000,0.310521,0.078404,0.310605,-0.006531
11.4067800000,0.310506,0.078451,0.311957,-0.006405
11.4191300000,0.310517,0.078426,0.313006,-0.005847
11.4339900000,0.309158,0.078621,0.314215,-0.004650
11.4494200000,0.302186,0.079664,0.315624,-0.002897
11.4634400000,0.216477,0.068957,0.188713,-0.011940
11.4761900000,0.216922,0.069273,0.188886,-0.012500
11.4905500000,0.217010,0.069137,0.188529,-0.014271
11.5052000000,0.217071,0.069158,0.188246,-0.014785
11.5190200000,0.216559,0.069166,0.181953,-0.015795
11.5335000000,0.210312,0.066347,0.173393,-0.012770
11.5477500000,0.198774,0.067620,0.167951,-0.014395
11.5628700000,0.196446,0.062365,0.164623,-0.018787
11.5777400000,0.194013,0.054254,0.163673,-0.020099
11.5914100000,0.182129,0.048427,0.145387,-0.017268
11.6063300000,0.176164,0.047426,0.140993,-0.016534
11.6191400000,0.167786,0.048691,0.138309,-0.014855
11.6333000000,0.152088,0.052131,0.134124,-0.014841
11.6475900000,0.141154,0.056271,0.125212,-0.011918
11.6620600000,0.137993,0.056070,0.120515,-0.010178
11.6763500000,0.097541,0.102762,0.113927,-0.006174
11.6908100000,0.085551,0.102579,0.070493,-0.075930
11.7064300000,0.056889,0.085484,0.075313,-0.019511
11.7210000000,0.065855,0.119788,0.150270,-0.094646
11.7339200000,-0.005653,0.264165,0.124767,-0.061959
11.7476200000,-0.017357,0.254745,0.123495,-0.061090
11.7619400000,-0.046401,0.189655,0.122587,-0.059200
11.7760600000,-0.055862,0.229085,0.120779,-0.055200
11.7904500000,-0.032084,0.252503,0.115939,-0.049644
11.8057300000,-0.107559,0.366837,0.100010,-0.047962
11.8211200000,-0.035034,0.365772,0.001354,0.053074
11.8334600000,-0.012142,0.497424,-0.008804,0.043543
11.8515100000,0.103346,0.413082,-0.008254,0.045259
11.8620200000,-0.034568,0.294233,-0.012496,0.052454
11.8761700000,-0.083528,0.417782,-0.021267,0.048731
11.8905500000,-0.084684,0.405689,-0.022601,0.044724
11.9062900000,-0.193387,0.392802,-0.023081,0.043704
11.9211300000,-0.156302,0.429445,-0.038105,0.042043
11.9335600000,-0.163343,0.412678,-0.046826,0.047886
11.9479000000,-0.157991,0.425015,-0.051246,0.050368
11.9628800000,-0.167146,0.450708,-0.082048,-0.021178
11.9780500000,-0.146161,0.485850,-0.083806,-0.024144
11.9913100000,-0.185034,0.464181,-0.088237,-0.007594
12.0068900000,-0.189320,0.453102,-0.099612,-0.002468
12.0191700000,-0.198005,0.383205,-0.102749,-0.001849
12.0335100000,-0.208780,0.376397,-0.095273,0.023983
12.0477000000,-0.205578,0.366363,-0.098206,0.026361
12.0619200000,-0.201652,0.359608,-0.107913,0.030847
12.0764800000,-0.200992,0.359091,-0.112602,0.031607
12.0909500000,-0.195951,0.358446,-0.117500,0.032458
12.1068400000,-0.197263,0.358227,-0.126763,0.033486
12.1252100000,-0.199738,0.391308,-0.134580,0.033883
12.1339700000,-0.219898,0.355637,-0.150055,0.035287
12.1478000000,-0.223773,0.360231,-0.156143,0.037578
12.1619100000,-0.221562,0.355121,-0.159306,0.038722
12.1760500000,-0.246108,0.336532,-0.181392,0.039413
12.1904800000,-0.247039,0.332589,-0.189025,0.038096
12.2069500000,-0.245783,0.331412,-0.190996,0.039327
12.2194000000,-0.242885,0.327225,-0.200565,0.041286
